"score","og_df_row","winnerNo"
59,1581,1166
82,1582,1167
58,1585,1168
53,1589,1169
88,1590,1170
68,1591,1171
54,1591,1172
52,1592,1173
65,1592,1174
66,1595,1175
52,1595,1176
53,1598,1177
67,1598,1178
78,1600,1179
60,1603,1180
93,1604,1181
81,1605,1182
67,1607,1183
99,1609,1184
60,1610,1185
75,1612,1186
98,1612,1187
52,1613,1188
62,1615,1189
83,1621,1190
56,1622,1191
59,1625,1192
64,1625,1193
52,1627,1194
54,1628,1195
61,1633,1196
67,1633,1197
67,1633,1198
55,1635,1199
56,1635,1200
52,1635,1201
68,1636,1202
65,1636,1203
78,1637,1204
72,1646,1205
72,1647,1206
89,1650,1207
62,1650,1208
55,1650,1209
53,1653,1210
77,1653,1211
61,1654,1212
79,1654,1213
86,1655,1214
52,1662,1215
90,1666,1216
106,1672,1217
78,1672,1218
95,1673,1219
95,1674,1220
73,1675,1221
61,1682,1222
57,1683,1223
95,1684,1224
75,1685,1225
73,1687,1226
62,1687,1227
78,1687,1228
82,1690,1229
88,1691,1230
59,1692,1231
78,1692,1232
77,1693,1233
61,1693,1234
62,1694,1235
86,1698,1236
54,1699,1237
66,1699,1238
66,1700,1239
53,1701,1240
83,1702,1241
77,1705,1242
53,1711,1243
62,1711,1244
77,1718,1245
85,1721,1246
92,1721,1247
93,1722,1248
71,1722,1249
82,1722,1250
52,1723,1251
63,1723,1252
69,1725,1253
69,1725,1254
70,1726,1255
53,1726,1256
84,1728,1257
84,1729,1258
63,1729,1259
54,1730,1260
103,1734,1261
68,1736,1262
76,1736,1263
76,1737,1264
73,1738,1265
72,1739,1266
61,1744,1267
53,1746,1268
68,1746,1269
58,1747,1270
79,1747,1271
52,1749,1272
53,1751,1273
97,1751,1274
56,1751,1275
55,1751,1276
60,1752,1277
91,1752,1278
62,1754,1279
62,1756,1280
63,1757,1281
61,1759,1282
107,1759,1283
94,1759,1284
66,1761,1285
66,1762,1286
86,1763,1287
56,1764,1288
74,1769,1289
61,1771,1290
52,1773,1291
74,1773,1292
106,1773,1293
74,1774,1294
106,1774,1295
92,1774,1296
78,1774,1297
52,1775,1298
58,1776,1299
54,1776,1300
53,1777,1301
71,1778,1302
139,1779,1303
87,1783,1304
66,1783,1305
52,1783,1306
78,1784,1307
57,1785,1308
54,1785,1309
52,1788,1310
98,1789,1311
97,1791,1312
62,1792,1313
62,1792,1314
67,1793,1315
56,1795,1316
74,1796,1317
59,1797,1318
73,1797,1319
81,1799,1320
95,1801,1321
69,1804,1322
59,1804,1323
101,1804,1324
101,1805,1325
81,1806,1326
79,1806,1327
59,1806,1328
63,1809,1329
63,1809,1330
79,1810,1331
67,1813,1332
67,1813,1333
54,1816,1334
99,1816,1335
69,1817,1336
108,1817,1337
68,1818,1338
70,1819,1339
93,1822,1340
53,1823,1341
55,1824,1342
98,1824,1343
128,1825,1344
92,1826,1345
86,1826,1346
59,1827,1347
85,1829,1348
91,1830,1349
57,1830,1350
64,1832,1351
118,1835,1352
75,1836,1353
79,1837,1354
52,1837,1355
69,1838,1356
70,1839,1357
90,1840,1358
53,1840,1359
92,1840,1360
57,1841,1361
70,1842,1362
83,1843,1363
69,1846,1364
71,1848,1365
73,1851,1366
71,1851,1367
74,1858,1368
55,1859,1369
85,1866,1370
69,1869,1371
52,1869,1372
70,1869,1373
72,1871,1374
78,1871,1375
86,1872,1376
86,1873,1377
63,1875,1378
101,1881,1379
70,1882,1380
75,1884,1381
69,1885,1382
61,1888,1383
94,1889,1384
56,1891,1385
59,1892,1386
82,1892,1387
80,1892,1388
71,1895,1389
55,1895,1390
56,1895,1391
81,1896,1392
81,1898,1393
62,1899,1394
67,1899,1395
107,1900,1396
93,1900,1397
59,1905,1398
72,1907,1399
130,1908,1400
69,1908,1401
85,1910,1402
130,1910,1403
65,1910,1404
67,1911,1405
67,1912,1406
57,1913,1407
92,1913,1408
107,1913,1409
91,1915,1410
52,1916,1411
52,1917,1412
79,1922,1413
52,1922,1414
76,1928,1415
57,1928,1416
57,1929,1417
